language_no	predicate_no	verb	X	Y	locus	valency_pattern	sentence	glosses_en	back_translation_en	comms	glosses_ru	back_translation_ru	verb_original_orthography	sentence_original_orthography
60	57	[ĉə-]maʁ	MAL	ABS	X	MAL_ABS	fatíma murád də-l-ĉə́-maʁ-b	PN PN 3SG.H.ABS-3SG.F.IO-MAL-hate-NPST.DCL	‘Fatima hates Murad.’		PN PN 3SG.H.ABS-3SG.F.IO-MAL-ненавидеть-NPST.DCL	‘Фатима ненавидит Мурада.’	[чвы-]магъ	ФатИма МурАд ды-л-чвы-мАгъ-б
60	58	gʷapχa	ERG	ABS	TR	TR	murád arə́j as j-gʷapχ-ə́j-d	PN PROX DEF+shirt 3SG.M.ERG-like-PRS-DCL	‘Murad likes this shirt.’		PN PROX DEF+рубашка 3SG.M.ERG-нравиться-PRS-DCL	‘Мураду нравится эта рубашка.’	гвапха	МурАд Ари ас й-гвапх-И-д
60	59	[zə-]bža	ABS	BEN	Y	ABS_BEN	rasúl aχč’á d-a-zə́-bža-b	PN money 3SG.H.ABS-3SG.N.IO-BEN-need-NPST.DCL	‘Rasul needs money.’		PN деньги 3SG.H.ABS-3SG.N.IO-BEN-нужда-NPST.DCL	‘Расулу нужны деньги.’	[зы-]бжа	РасУл ахчА д-а-зЫ-бжа-б
60	60	ʕa-q̇ʷ-r.ša	ERG	ABS	TR	TR	a-bɮə́n-kʷa a-gorad ʕá-ḳʷ-də-r-š-əj-d	DEF-wall-PL DEF-city CISL-LOC-3PL.ERG-CAUS-divide-PRS-DCL	‘The walls surround the city.’		DEF-стена-PL DEF-город CISL-LOC-3PL.ERG-CAUS-делить-PRS-DCL	‘Стены окружают город.’	гIа-къв-рша	а-бльЫн-ква а-город гIА-кIв-ды-р-ш-и-д
60	61	[zə-]ʕa-n-χa	BEN	ABS	X	BEN_ABS	rasúl ẑa–dollar-ḳ j-zə́-ʕa-n-χa-d	PN ten–dollar-UNIT 3PL.ABS+3SG.M.IO-BEN-CISL-LOC-become(AOR)-DCL	‘Rasul has ten dollars left.’		PN десять–доллар-UNIT 3PL.ABS+3SG.M.IO-BEN-CISL-LOC-стать(AOR)-DCL	‘У Расула осталось 10 долларов.’	[з-]агIан-ха	РасУл жва–доллар-кI й-з-АгIан-ха-д
60	62	ǯawap tə	ERG	IO	Y	ERG_IO	murád arə́pχ’aʕʷ ǯawap lə-j-t-ṭ	PN DEF+teacher answer 3SG.F.IO-3SG.M.ERG-give(AOR)-DCL	‘Murad answered the teacher.’		PN DEF+учитель ответ 3SG.F.IO-3SG.M.ERG-дать(AOR)-DCL	‘Мурад ответил учительнице.’	джауап ты	МурАд арЫпхьагIв джауап л-и-т-тI
60	63	qə-ṭə	ERG	ABS	TR	TR	á-č’ḳʷən a-bánka ʕa-qə-j-ṭə́-d	DEF-boy DEF-jar CISL-LOC-3SG.M.ERG-open-DCL 	‘The boy opened the jar.’		DEF-парень DEF-банка CISL-LOC-3SG.M.ERG-открыть-DCL 	‘Парень открыл банку.’	хъы-тIы	А-чкIвын а-бАнка гIа-хъ-и-тIЫ-д
60	64	*	*	*	*		*	*	*	No satisfactory translation has been obtained.	*	*	*	*
60	65	ʕa-[χ’ə-]ŝa	ABS	LOCxe	Y	ABS_LOCxe	rasúl zaréma d-ʕá-l-χ’-ŝa-d	PN PN 3SG.H.ABS-CISL-3SG.F.IO-LOC-fall(AOR)-DCL	‘Rasul fell behind Zarema.’		PN PN 3SG.H.ABS-CISL-3SG.F.IO-LOC-падать(AOR)-DCL	‘Расул отстал от Заремы.’	гIа-[хьы-]шва	РасУл ЗарЕма д-гIа-л-ахь-шва-д
60	66	ĉaʁʷa	ERG	ABS	TR	TR	a-qác̣a j-ádg’əl j-ĉaʁʷ-ə́j-d	DEF-man 3SG.M.IO-ground 3SG.M.ERG-plough-PRS-DCL	‘The man is ploughing the field.’		DEF-мужчина 3SG.M.IO-земля 3SG.M.ERG-пахать-PRS-DCL	‘Мужчина пашет поле.’	чвагъва	а-хъАцIа й-Адгьыл й-чвагъв-И-д
60	67	fʕʷə́ qə-ha	*	*	*		s-náṗ-kʷa benzín–fʕʷə r-qə́-h-əj-d	1SG.IO-hand-PL gasoline–smell 3PL.IO-LOC-smell-PRS-DCL	‘My hands smell of gasoline.’	Not included in the database because Y is expressed as part of a nominal compound.	1SG.IO-рука-PL бензин–запах 3PL.IO-LOC-пахнуть-PRS-DCL	‘Мои руки пахнут бензином.’	фгIвЫ хъы-хIа	с-нАпI-ква бензин–фгIвы р-хъЫ-хI-и-д
60	68	[qə-]sə	ABS	LOCqe	Y	ABS_LOCqe	a-phʷə́s á-mʕʷa d-a-qə́-s-d	DEF-woman DEF-road 3SG.H.ABS-3SG.N.IO-LOC-hit(AOR)-DCL	‘The woman crossed the road.’		DEF-женщина DEF-дорога 3SG.H.ABS-3SG.N.IO-LOC-бить(AOR)-DCL	‘Женщина пересекла дорогу.’	[хъы-]сы	а-пх1вЫс А-мг1ва д-а-хъЫ-с-д
60	69	hʷa	ERG	ABS	TR	TR	fatíma warad–pšʒa l-hʷa-d	PN song–beautiful 3SG.F.ERG-say(AOR)-DCL	‘Fatima sang a beautiful song.’		PN песня–красивый 3SG.F.ERG-говорить(AOR)-DCL	‘Фатима спела красивую песню.’	хIва	ФатИма уарад–пшдза л-хIва-д
60	70	ʕʷə	ERG	ABS	TR	TR	zarema pismo l-ʕʷə-d	PN letter 3SG.F.ERG-write(AOR)-DCL	‘Zarema wrote a letter.’		PN письмо 3SG.F.ERG-писать(AOR)-DCL	‘Зарема написала письмо.’	гIвы	Зарема письмо л-гIвы-д
60	71	ẑə	ERG	ABS	TR	TR	murád a-χš jə-ẑ-d	PN DEF-milk 3SG.M.ERG-drink(AOR)-DCL	‘Murad drank the milk.’		PN DEF-молоко 3SG.M.ERG-пить(AOR)-DCL	‘Мурад выпил молоко.’	жвы	МурАд а-хш йы-жв-д
60	72	r.ĉa	ERG	ABS	TR	TR	a-nχaʕʷə́ ájχa–čət-ḳ jə́-r-ĉa-d	DEF-worker metal–piece-INDF 3SG.M.ERG-CAUS-melt(AOR)-DCL	‘The worker melted a piece of metal.’		DEF-рабочий металл–кусок-INDF 3SG.M.ERG-CAUS-таять(AOR)-DCL	‘Рабочий расплавил кусок металла.’	р.чва	а-нхагIвЫ Айха–тшыт-кI йЫ-р-чва-д
