predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	Abaza	Adyghe_West_Circassian	Aghul	Akhvakh_Northern	Albanian	Andi_Zilo	Arabic_Northern_Syrian	Arabic_South_Levantine_Nazareth	Arabic_Standard	Archi	Armenian_Eastern	Assyrian_Neo_Aramaic	Avar	Azerbaijani	Bafut	Bagvalal	Bambara	Bashkir	Basque	Belarusian	Bengali	Budugh	Bulgarian	Buriat	Catalan	Chechen	Chinese_Mandarin	Chirag	Chukchi	Chuvash	Croatian	Czech	Danish	Dargwa_Itsari	Dargwa_Kadar	Dargwa_Kaytag	Dargwa_Kubachi	Dargwa_Tsudakhar	Dargwa_Tsugni	Dutch	Enets_Forest	English	Erzya	Estonian	Evenki	Finnish	Finnish_Ingrian	French	Gascon	Gban	Georgian	German	Goo	Greek_Ancient	Greek_Modern	Guarani_Paraguayan	Guro	Hebrew_Modern	Hindi	Hungarian	Icelandic	Indonesian_Standard	Ingush	Irish	Italian	Japanese	Joola_Fonyi	Kalmyk	Karata	Kazakh	Khanty_Kazym	Khmer	Khoekhoe	Khwarshi	Komi_Permyak	Komi_Zyrian	Kpelle_Guinean	Kryz_Alik	Kryz_Ismayilli	Kryz_Proper	Kumyk	Kurdish_Sorani	Kurmanji_Northern_Kurdish	Lak_Quba	Latin	Latvian	Laz	Lezgian	Lezgian_Yargun	Lithuanian	Loma	Macedonian	Maltese	Mandinka	Maninka_Eastern	Mano	Mansi_Northern	Mari_Western	Mehweb	Mingrelian	Moksha	Nanai	Nivkh	Norwegian_Bokmal	Oromo_West_Central	Ossetic	Persian	Polish	Portuguese_Brazilian	Romani_Kalderash	Romanian	Russian	Rutul_Kina	Rutul_Mukhad	Rutul_Myukhrek	Rutul_Shin_Borch	Rutul_Shinaz	Saami_Skolt	Saami_South	Sagada	Serbian	Shughni	Slovak	Slovenian	Soninke	Spanish	Svan	Swedish	Tabasaran_Kandyk	Tagalog	Telugu	Tsakhur	Tswana	Turkish	Turoyo	Tuvinian	Twi	Udi	Udihe	Udmurt	Ukrainian	Ulcha	Uzbek	Wolof	Yakut	Yukaghir_Northern	Zazaki
11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	ABS_LOCpca	ABS_LOC.FRONT	DAT_ABS	DAT_NOM	NOM_meACC	AFF_NOM	TR	SBJ_bi	NOM_biGEN	DAT_NOM	TR	SBJ_men	LOC_NOM	NOM_ile	TR	AFF_NOM	TR	TR	TR	TR	GEN_GENsange	NOM_COM	TR	NOM_COM	TR	DAT_ABS	TR	SUPER_ABS	ABS_COM	NOM_INS	TR	NOM_sINS	SBJ_i	SUPER.LAT_ABS	DAT_NOM	DATLAT_NOM	NOM_COM	NOM_COM	DAT_NOM	TR	TR	TR	NOM_marto	NOM_PART	NOM_COM	TR	NOM_GENkans	TR	TR	SBJ_nen	NOM_DAT	TR	SBJ_ta	NOM_DAT	NOM_meACC	TR	SBJ_ya	SBJ_be	DAT_DIR	NOM_INS	NOM_aACC	SBJ_dengan	NOM_LAT	SBJ_le	TR	NOM_DAT	SBJ_di	NOM_COM	DAT_NOM	NOM_INS	NOM_NOMpila	SBJ_nung	TR	DAT_ABS	NOM_COM	NOM_COM	SBJ_a	NOM_SUPER	NOM_SUPER	NOM_INLAT	NOM_DAT			DAT_NOM	NOM_inACC	NOM_arACC	DAT_NOM	ABS_SRESS	NOM_SUP	NOM_suINS	TR	SBJ_so	SBJ_ma		SBJ_di	SBJ_mo	NOM_NOMjot	TR	CONT.LAT_NOM	ERG_DAT	NOM_marxta	NOM_INS	TR	TR	NOM_LOC	NOM_SUPER	NOM_baNOM	TR	SBJ_com	NOM_INS	NOM_cu	NOM_sINS	DAT_NOM	SUPER_NOM	NOM_COM	NOM_SUPER	NOM_SUPER	NOM_COM	NOM_COM	ABS_ALL	TR	TR	TR	TR		SBJ_con	NOM_DAT	TR	ABS_POST.DIR	TR	TR	NOM_SUPERLAT	SBJ_le	NOM_DAT	SBJ.SS_b	NOM_COM	TR	ABS_ABL	NOM_INS	NOM_INS	NOM_zINS	TR	TR	SBJ_ak	TR		
12	enter	X (enter) Y	входить	X (входить) в Y (дом)	ABS_NONARG	ABS_LOC.CONT	ABS_DAT	NOM_LAT	NOM_neACC	NOM_ILLAT	TR	SBJ_ala	TR	NOM_IN.LAT	NOM_NOM(NO.AGR)	SBJ_gu	NOM_LAT	NOM_DATLAT	SBJ_mum		SBJ_kono	NOM_DAT	ABS_IN	NOM_uACC	NOM_LOC/INS	NOM_LOC	SBJ_v	NOM_DAT	SBJ_a	ABS_DATchu	TR	ABS_IN	ABS_ALL	TR	NOM_uACC	NOM_doGEN	SBJ_i	ABS_IN.LAT	NOM_IN	NOM_INTER	NOM_LOCLAT	NOM_ERG/LOC(LAT)	NOM_LOC(LAT)	TR	NOM_OBLmi	TR	NOM_ILL	NOM_ILL	NOM_LOC	NOM_ILL		SBJ_dans	SBJ_dens	SBJ_go	ERG_DAT.INESS/ILLAT	NOM_inACC	SBJ_gi	NOM_eisACC	NOM_seACC	ACT_pe(loc)	SBJ_ji	SBJ_el	DIR_OBLke.andar	NOM_ILL	NOM_iACC	SBJ_ke		SBJ_isteach	SBJ_in	NOM_ALL	SBJ_di	NOM_DAT	NOM_LAT	NOM_DAT	NOM_DAT	SBJ_knong	SBJ_!na	ABS_IN.DIR	NOM_ILL	NOM_ILL	SBJ_mu	NOM_IN	NOM_INESS	NOM_INLAT	NOM_DAT	SBJ.INTR_le		NOM_INLAT	TR	NOM_LOC	NOM_DAT	ABS_DAT	NOM_DAT	NOM_iACC		SBJ_vo	SBJ_fi	SBJ_kono	SBJ_la	SBJ_LOC	NOM_NOMkiwern	NOM_ILL	NOM_IN.LAT	ERG_ALL	NOM_LAT/DAT	NOM_DIR	SBJ_DAT/ADD	SBJ_i	TR	NOM_ALL		NOM_doGEN	SBJ_em	NOM_ande	NOM_in	NOM_vACC	NOM_IN	NOM_IN	NOM_IN	NOM_IN	NOM_NOM(NO.AGR)	NOM_ILL	NOM_GENsijse	ABS_SUB.ALL	NOM_uACC	NOM.NO.CL_EQ	NOM_doGEN	NOM_vACC	SBJ_yi	SBJ_en	NOM_ALL.INESS	SBJ_i	ABS_IN	ACT_PATH	NOM_LOCDAT	NOM_INLAT	SBJ_mo	NOM_DAT	SBJ.SS_IO	NOM_ALL1	SBJ_mu	ABS_DAT	NOM_DIR	NOM_ILL	NOM_doGEN	NOM_dooLAT	NOM_DAT	SBJ_ci	NOM_DAT	NOM_LOC	SBJ.INTR_zere.PREP
13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	ABS_IO	ABS_LOC.TOP	ERG_SUPER	NOM_EL	NOM_ndajABL	NOM_SUPER.LAT	SBJ_3ala	TR	NOM_alaaGEN	NOM_COMP	TR	SBJ_ka	NOM_EL	NOM_DATLAT	TR	NOM_CONTESS	SBJ_kan	TR	ERG_DAT	NOM_uGEN	TR		TR	TR	TR	TR	TR	ABS_SUPER.ELAT	ABS_ALL	TR	TR	NOM_nadINS	TR	ABS_SUPER.EL	NOM_COMP	NOM_SUPEREL	NOM_SUPERLAT	NOM_SUPER.ABL2	NOM_SUPER.ESS	SBJ_van	NOM_ABL	TR	TR	NOM_PART	TR	TR	NOM_ABL	SBJ_contre		TR	ERG_DAT	NOM_gegenACC	TR	TR	TR		SBJ_le	TR	TR	TR	TR	SBJ_dari		SBJ_ar	TR	NOM_DAT	TR	TR	NOM_EL	NOM_ABL	TR	TR	TR	ABS_SUPER.EL	TR	TR		NOM_DAT	NOM_DAT	NOM_DAT	TR	SBJ.TR_le		NOM_COMP	TR	TR	ERG_DAT	ERG_ADEL	TR	NOM_priesACC		TR	SBJ_lil	TR	SBJ_kun		TR	NOM_gec	NOM_SUPER.ESS	ERG_DAT	TR	TR	SBJ_COMP	SBJ_over	TR	TR	TR	NOM_zINS	TR	NOM_ABL	TR	NOM_uGEN	ERG_SUP	ERG_SUPER	NOM_SUPEREL	NOM_DAT	NOM_EL	TR	NOM_GENbijjelen	ABS_SUPER.ABL	TR	NOM.CL_EL	NOM_nadINS	TR	TR	TR	ERG_DAT	TR	TR	TR	NOM_OBLmida	NOM_SUPEREL	TR	NOM_DAT	TR	TR	SBJ_so	TR	TR	TR	NOM_uGEN	TR	TR	TR	TR	TR	
14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	ABS_LOCzele	ABS_LOC.CONT	ABS_(IN)ELAT	NOM_EL	NOM_ngaNOM	NOM_IN.EL	SBJ_men	SBJ_min	NOM_minGEN	NOM_IN.EL	NOM_ABL	SBJ_men	NOM_EL	NOM_ABL	SBJ_a		SBJ_kono	NOM_ABL	ABS_ABL	NOM_zGEN	NOM_theke	NOM_ABL	SBJ_ot	NOM_soohoo	SBJ_de	ABS_chura	TR	ABS_IN.ELAT	ABS_ABL	NOM_ABL	NOM_izGEN	NOM_zGEN	SBJ_af	ABS_IN.EL	NOM_EL	NOM_SUPEREL	NOM_LOCABL	NOM_LOC.ABL1	NOM_LOC.ABL.DOWN	TR	NOM_ABL	SBJ_of	NOM_ELA	NOM_ELA	NOM_ABL	NOM_ELA		SBJ_de	SBJ_de	SBJ_go	NOM_INS.ABL	NOM_ausDAT		NOM_eksGEN	NOM_apoACC	ACT_gui	SBJ_ji	SBJ_mi	DIR_ABL	NOM_ELA	NOM_urDAT	SBJ_dari		SBJ_as	SBJ_da	NOM_ABL	SBJ_di	NOM_ABL	NOM_SUPEREL	NOM_ABL	NOM_NOMewelt	SBJ_pi	SBJ_xu	ABS_IN.EL	NOM_ELA	NOM_ELA	SBJ_mu	NOM_INEL	NOM_INEL	NOM_INEL	NOM_ABL	SBJ.INTR_le	SBJ.INTR_jiOBL	NOM_INEL	NOM_exABL	NOM_noGEN	NOM_ABL	ABS_INEL	NOM_INEL	NOM_isGEN		SBJ_od	SBJ_minn	SBJ_kono	SBJ_la	SBJ_LOC	NOM_EL	NOM_gec	NOM_IN.EL	ERG_ABL	NOM_EL/ezda	NOM_ABL	SBJ_LOC/ABL	SBJ_av	NOM_ABL	NOM_ABL	NOM_azNOM	NOM_zGEN	SBJ_de	NOM_anda	NOM_din	NOM_izGEN	NOM_IN.EL	NOM_ABL	NOM_INga7	NOM_ABL	NOM_IN	NOM_LOC	NOM_GENsistie	ABS_SUB.ABL	NOM_izGEN	NOM.NO.CL_EL	NOM_zGEN	NOM_izGEN	SBJ_yi	SBJ_de	NOM_ABL.EL	SBJ_ur	ABS_IN.ELAT	ACT_PATH	NOM_ABL	NOM_INEL	SBJ_mo	NOM_ABL	SBJ.SS_m	NOM_ABL	SBJ_mu	ABS_ABL	NOM_ABL	NOM_ELA	NOM_zGEN	NOM_INS	NOM_ABL	TR	NOM_ABL	NOM_ABL	SBJ.INTR_ra.PSTP
15	drive	X (drive) Y	гнать	X (гнать) Y-а	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_a.ndim	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_ye	NOM_DAT	TR		TR	TR	TR	SBJ_ya	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_a	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_di	SBJ_ka	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
16	bend	X (bend) Y	гнуть	X (гнуть) Y	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SUB_ba	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
17	tell	X (tell) Y	говорить	X (говорить) Y-у	ERG_IO	ERG_DAT	ERG_DAT	ERG_LAT	NOM_DAT	ERG_INST	SBJ_l	SBJ_la	NOM_liGEN	ERG_CONT.ALL	NOM_DAT	SBJ_ka	ERG_LOC	NOM_DATLAT	SBJ_mbo	ERG_SUPLAT	SBJ_ye	NOM_DAT	ERG_DAT	NOM_DAT	TR	ERG_ADR	SBJ_DAT(na)	TR	SBJ_NDIR.OBJ	ERG_ALL	SBJ_dui	ERG_SUPER	TR	TR	NOM_DAT	NOM_DAT	SBJ_til	ERG_IN.LAT	ERG_IN	ERG_INTER	ERG_INTERLAT	ERG/LOC(LAT)_INTER(LAT)	ERG_INTER(LAT)	SBJ_tegen	NOM_DAT	TR	NOM_DAT	NOM_ALL	NOM_DAT	NOM_ALL	NOM_ALL	SBJ_NDIR.OBJ	SBJ_NDIR.OBJ	SBJ_nen	ERG_DAT	NOM_zuDAT	SBJ_lan	NOM_prosACC	NOM_seACC		SBJ_le	SBJ_le	ERG_ABL	NOM_DAT	NOM_vidACC	SBJ_pada	ERG_ALL	SBJ_le	SBJ_NDIR.OBJ	NOM_DAT	TR	NOM_DAT	ERG_LAT	NOM_DAT	NOM_DAT		TR	ERG_CONT.LAT	NOM_DAT	NOM_DAT	SBJ_bha	ERG_ADR	ERG_ADR	ERG_ADR	NOM_DAT	SBJ.TR_be	SBJ.TR_jiOBLre	GEN_APUD	NOM_DAT	TR	ERG_DAT	ERG_DAT	ERG_DAT	NOM_DAT	SBJ_ma	SBJ_DAT(na)	SBJ_lil	SBJ_ye	SBJ_nye	SBJ_lee	NOM_LAT	NOM_DAT	ERG_CONT.LAT	ERG_DAT	NOM_DAT	NOM_DIR	TR	SBJ_til	NOM_INS	NOM_DAT	NOM_beNOM	NOM_DAT	SBJ_para	NOM_DAT	NOM_DAT	NOM_DAT	ERG_APUD	ERG_AD	ERG_AD	ERG_AD	ERG_AD	NOM_ILL	NOM_ILL	ERG_POSS.LAT	NOM_DAT	NOM.CL_LAT	NOM_DAT	NOM_DAT	SBJ_da	SBJ_NDIR.OBJ	ERG_DAT	SBJ_till	ERG_DAT	ACT_LOC	NOM_DAT	ERG_AFF	TR	NOM_DAT	SBJ_IO	NOM_DAT	TR	ERG_DAT	NOM_DIR	NOM_DAT	NOM_DAT	NOM_LAT	NOM_DAT	TR	NOM_DAT	NOM_DAT	SBJ.TR_re.PSTP
18	hold	X (hold)Y	держать	X (держать) Y(-а)	IO_ABS	TR		TR	TR	CONT_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	bolo_SBJ	TR	TR	TR	TR	TR	TR	TR	TR	ALL_ABS	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	NOM_PART	TR	NOM_PART	TR	TR	TR	TR	DAT_NOM	TR	ta_SBJ	TR	TR	TR		TR	TR	TR	NOM_aACC	TR	TR	aige_SBJ	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	EXT_SBJ.INTR	TR	TR	TR	TR	DAT_NOM	TR	TR	TR	TR	TR	TR				TR	TR	TR	DAT_NOM	TR	TR	TR	TR	TR	NOM_SUPER	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	DAT_NOM	TR	TR	SBJNV_LIN	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR
19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	ABS_LOCxe	ABS_LOC.BEHIND.LOC.AFTER	ABS_POST	NOM_LOC	TR	NOM_CONT	TR	TR	NOM_biGEN	NOM_DAT	NOM_DAT	SBJ_ka	NOM_LOC	NOM_DATLAT	TR	TR	SBJ_la		TR	TR		NOM_DIR	TR	TR	TR	ABS_DAT	TR	ABS_SUPER	TR	TR	TR	TR	TR	ABS_POST.LAT	NOM_SUPER	NOM_DATLAT	NOM_DAT	NOM_SUPER(LAT)	NOM_POST	TR	TR	SBJ_with	TR	NOM_ALL	TR	TR	TR	TR	TR	TR	NOM_DAT	TR	TR	TR	TR	TR	SBJ_ba	SBJ_el	DIR_OBLtak	TR	NOM_DAT	TR	NOM_DAT	SBJ_le	TR	NOM_DAT	TR	TR	NOM_DAT	TR	TR		TR	ABS_GEN2	TR	TR		NOM_SUPER	NOM_SUPER	NOM_APUD	NOM_GENartPOSS.ABL	TR	SBJ.INTR_duOBL	NOM_GEN	TR	TR	NOM_DAT	ERG_ADESS	NOM_AD	TR	TR	TR	TR	TR	SBJ_do(POST)	TR	TR	TR	NOM_DAT	ERG_DAT	TR	TR		TR	TR	TR	NOM_beNOM	TR	TR	TR	TR	TR	NOM_SUB	NOM_APUD	NOM_ATTRdjibra	NOM_APUD	NOM_APUD	TR	TR	TR	TR	TR	TR	TR	SBJ_yi	TR	NOM_DAT	TR	ABS_POST	TR	TR	NOM_ATTRqhehna	TR	NOM_DAT	SBJ.SS_IO	NOM_DAT	TR	ABS_DAT	TR	TR	TR	TR	NOM_DAT	TR	TR	TR	SBJ.INTR_GOAL
20	milk	X (milk) Y	доить	X (доить) Y-а	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_a.mum.nu	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	SBJ_gei	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_de		TR	TR		TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	ERG_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR		TR
21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега)	ABS_BEN	ABS_LOC.TO	ABS_POST.LAT	NOM_TERMIN	TR	NOM_SUPER.LAT	TR	TR	TR	NOM_IN.LAT	NOM_DAT	SBJ_al	NOM_LAT	NOM_DATLAT	TR	NOM_SUPLAT	SBJ_la		ABS_ALL	NOM_GEN	NOM_LOC/INS	NOM_LOC	TR	NOM_DAT	SBJ_a	ABS_ALL	TR	ABS_SUPER	ABS_ALL	TR	NOM_doGEN	NOM_naACC	SBJ_til	ABS_POST.LAT	NOM_IN	NOM_DATLAT	NOM_LOCLAT	NOM_ERG/LOC(LAT)	NOM_LOC(LAT)	TR	NOM_DAT	TR	NOM_DAT	NOM_ALL	NOM_LOC	TR	NOM_ILL	TR	TR	SBJ_nen	ERG_DAT	TR	SBJ_lie	TR	NOM_seACC	TR	SBJ_la	SBJ_el	DIR_OBL	TR	NOM_DAT	TR		TR	TR	NOM_DAT	SBJ_di	NOM_DAT	NOM_SUPERLAT	NOM_DAT	NOM_DAT	TR	SBJ_ai	ABS_AD.LAT	NOM_dynodz	NOM_TERM	SBJ_bha	NOM_IN	NOM_SUPER	NOM_APUD	NOM_DAT	SBJ.INTR_be	SBJ.INTR_IO	NOM_SUPLAT	NOM_adACC	TR	NOM_ALL	ABS_ADESS	NOM_AD	TR		SBJ_do	TR	SBJ_to	SBJ_la	SBJ_la	NOM_NOMpoxen	NOM_ILL	NOM_CONT.LAT	ERG_DAT	NOM_ILL/DAT	TR		TR	TR	NOM_ALL	NOM_beNOM	NOM_doGEN	TR	NOM_LOC	NOM_la	NOM_GEN	NOM_SUP	NOM_AD	NOM_SUPER	NOM_SUPER	NOM_SUPER	NOM_ILL	TR	ABS_SUPER.LAT	NOM_doGEN	NOM.CL_EQ	NOM_naACC	TR	SBJ_yi	TR	ERG_ALL.EL	SBJ_till	ABS_POST.LAT	ACT_PATH	NOM_DAT	NOM_SUPERLAT	SBJ_ko	NOM_DAT	SBJ.SS_IO	NOM_ALL1	SBJ_so	ABS_DAT	NOM_LOC	NOM_TERM	NOM_GEN	NOM_LAT	NOM_DAT	SBJ_ci	NOM_DAT	NOM_LOC	SBJ.INTR_GOAL
22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	ABS_LOCxe	ABS_LOC.TO		ERG_LOC	TR	ERG_SUPER	TR	TR	TR	ERG_DAT	NOM_DAT	SBJ_bi	NOM_LOC	NOM_DATLAT	TR	NOM_CONTESS	SBJ_la	NOM_DAT	TR	NOM_daGEN	TR	NOM_LOC	SBJ_do	TR	TR	ERG_LAT	TR	ABS_SUPER	TR	TR	TR	NOM_GEN	TR	ABS_POST.LAT	ERG_SUPER	NOM_INTER		ERG/LOC(LAT)_INTER(LAT)	ERG_INTER(LAT)	TR	NOM_OBLdez	TR	TR	NOM_PART	TR	NOM_ILL	NOM_PART	TR	TR	SBJ_nen	NOM_DAT	TR	SBJ_bha	NOM_GEN	TR	TR	SBJ_ba	SBJ_be	TR	NOM_ALL	NOM_vidACC	TR	NOM_LAT	TR	TR	NOM_DAT	TR	TR	NOM_INTER	NOM_DAT	NOM_DAT	TR	TR	ERG_CONT	NOM_berdo	NOM_ILL	SBJ_bha	NOM_SUPER	NOM_SUPER	NOM_SUB	NOM_DAT	SBJ.TR_le	SBJ.TR_IO	GEN_SUPLAT	TR	NOM_DAT	NOM_DAT	ERG_SBESS	NOM_SUB/POST	TR	SBJ_ba	SBJ_do	TR	TR	SBJ_la	SBJ_mo	NOM_LAT	TR	NOM_CONT.LAT	ERG_DAT	NOM_ILL/DAT	TR	TR	SBJ_pa	NOM_LOC	NOM_ALL	NOM_beNOM	NOM_GEN	SBJ_em	TR	TR	NOM_doGEN	NOM_INTER	NOM_CONT	NOM_CONT	NOM_CONT	NOM_CONT	NOM_ILL	NOM_sontereGEN	ERG_POSS	TR	NOM.CL_PREP.UP-LOC	NOM_GEN	NOM_GEN	SBJ_yi	TR	NOM_DAT	SBJ_vid	ABS_CONT	TR	TR	NOM_CONT	TR	NOM_DAT	SBJ_b	NOM_LOC	SBJ_mu	TR	NOM_LOC	NOM_NOMbordi	NOM_doGEN	TR	TR	TR	TR	TR	SBJ.INTR_ro.PSTP
23	fight	X (fight) with Y	драться	X (драться) с Y-ом	ABS_SOC	ABS_DAT	ABS_COM	NOM_COM	NOM_meACC	NOM_COM	TR	SBJ_ma	NOM_maaGEN	ERG_COM	NOM_DAThet	SBJ_men	NOM_gun	NOM_ile	SBJ_ni	NOM_INTERESS	TR	NOM_menan	ABS_kontra	NOM_zINS	NOM_GENsange	ERG_COM	SBJ_s	NOM_COM	SBJ_amb	ABS_LAT	SBJ_he	ABS_COM	ABS_COM	NOM_INS	NOM_sINS	NOM_sINS	SBJ_med	ABS_COM	NOM_AD	NOM_INTER	NOM_COM	NOM_SUPER(LAT)	NOM_COM	SBJ_met	NOM_LOC	SBJ_with	NOM_marto	NOM_COM	NOM_COM	NOM_GENkanssa	NOM_GENkans	SBJ_contre	SBJ_contra	SBJ_ye	ERG_DAT.SOC	NOM_mitDAT		NOM_DAT	NOM_meACC	ACT_ndive	SBJ_va	SBJ_im	DIR_ABL	NOM_INS	NOM_vidACC	SBJ_dengan		SBJ_le	SBJ_con	NOM_CONTR	SBJ_di		NOM_COM	NOM_INS	NOM_NOMpila	SBJ_ciemuey	SBJ_kha	ABS_COM	NOM_COM	NOM_COM		NOM_INS	NOM_INESS.INS	ERG_GENqan	NOM_NOMbulan	SBJ.INTR_legel	SBJ.INTR_biOBLre	NOM_COM	NOM_cumABL	NOM_arACC	NOM_SOC	ABS_POESSgalaz	NOM_SUB/POSTgalaz	NOM_suINS	SBJ_ga	SBJ_so	SBJ_ma				NOM_NOMjot	NOM_dono	NOM_COM	ERG_DAT	NOM_marxta	NOM_INS	SBJ_COM	SBJ_med	NOM_ABSwaddzin	NOM_COM	NOM_baNOM	NOM_zINS	SBJ_com	NOM_INS	NOM_cu	NOM_sINS	NOM_COM	NOM_COM	NOM_COM	NOM_COM	NOM_COM	NOM_COM	NOM_COM	ERG_ALL	NOM_sINS	NOM.CL_INS	NOM_sINS	NOM_zINS			NOM_SOC	SBJ_med	ABS_POST.DIR	TR	NOM_COM	NOM_COM	SBJ_le	NOM_COM	SBJ_7am	NOM_COM		ERG_ABL	NOM_INS	NOM_INS	NOM_zINS	NOM_INS	NOM_bilan	SBJ_ak	NOM_COM	NOM_COM	SBJ.INTR_de.PSTP
24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	IO_ABS			POSS_COM	NOM_meACC	NOM_COM		SBJ_ma	TR	GEN_COM	NOM_DAThet	SBJ_men	GEN_GENgun	NOM_ile				NOM_menan		NOM_zINS	NOM_GENsange	ERG_COM	SBJ_s	NOM_COM			SBJ_he		ABS_COM	NOM_INS	NOM_sINS	NOM_sINS	SBJ_med	ABS_GEN		NOM_INTEREL	NOM_GEN	NOM_COM	NOM_COM	SBJ_met		SBJ_with	NOM_marto	NOM_COM	TR		NOM_GENkans	SBJ_avec			ERG_DAT.SOC	NOM_mitDAT		NOM_DAT					DIR_GEN	NOM_INS	NOM_GEN	SBJ_dengan				NOM_CONTR	SBJ_di	NOM_COM	ERG_COM	NOM_INS	NOM_NOMpila	SBJ_nung	SBJ_kha	ERG_INTER	NOM_COM	NOM_COM		ERG_INS	NOM_INESS.INS	ERG_GENqan	NOM_NOMbulan		SBJ.INTR_biOBLre	GEN_COM	NOM_DAT	NOM_arACC	NOM_SOC	ERG_POESSgalaz	NOM_SUB/POSTgalaz	NOM_suINS		SBJ_so	SBJ_ta			SBJ_pie	NOM_NOMjot	NOM_dono	NOM_NOMwara	ERG_SOC	NOM_marxta	NOM_INS	SBJ_COM	SBJ_med	NOM_ABSwaddzin	NOM_COM	NOM_baNOM	NOM_zINS	SBJ_com	NOM_INS	NOM_cu	NOM_sINS	NOM_COM	NOM_COM	ERG_COM	ERG_COM	ATTR_COM			ERG_ALL	NOM_sINS		NOM_sINS	NOM_zINS			NOM_SOC	SBJ_med	GEN_ABS		NOM_COM		SBJ_le	NOM_COM		NOM_COM		ERG_ABL	NOM_INS	NOM_INS	NOM_zINS	NOM_INS	NOM_bilan	SBJ_ak	NOM_COM	TR	SBJ.INTR_de.PSTP
